电影名,图片连接,电影评分,评价人数,内容简介
致命魔术, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg, 8.9, 575448人评价, 孪生蝙蝠侠大战克隆金刚狼。
七宗罪, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg, 8.8, 672358人评价, 警察抓小偷，老鼠玩死猫。
低俗小说, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg, 8.8, 572453人评价, 故事的高级讲法。
沉默的羔羊, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg, 8.8, 569179人评价, 安东尼·霍普金斯的顶级表演。
被嫌弃的松子的一生, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg, 8.9, 511914人评价, 以戏谑来戏谑戏谑。
蝴蝶效应, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg, 8.8, 632442人评价, 人的命运被自己瞬间的抉择改变。
绿皮书, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg, 8.9, 992507人评价, 去除成见，需要勇气。
春光乍泄, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg, 8.9, 424753人评价, 爱情纠缠，男女一致。
禁闭岛, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg, 8.8, 629937人评价, 昔日翩翩少年，今日大腹便便。
心灵捕手, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg, 8.9, 471234人评价, 人生中应该拥有这样的一段豁然开朗。
布达佩斯大饭店, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg, 8.8, 595543人评价, 小清新的故事里注入了大历史的情怀。
勇敢的心, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg, 8.9, 429618人评价, 史诗大片的典范。
剪刀手爱德华, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg, 8.7, 768239人评价, 浪漫忧郁的成人童话。
海蒂和爷爷, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg, 9.2, 223222人评价, 如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
阿凡达, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg, 8.7, 909117人评价, 绝对意义上的美轮美奂。
天使爱美丽, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg, 8.7, 738033人评价, 法式小清新。 
摩登时代, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg, 9.3, 184832人评价, 大时代中的人生，小人物的悲喜。
加勒比海盗, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg, 8.7, 601416人评价, 约翰尼·德普的独角戏。
致命ID, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg, 8.8, 527737人评价, 最不可能的那个人永远是最可能的。
喜剧之王, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg, 8.7, 623820人评价, 我是一个演员。
断背山, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg, 8.8, 511043人评价, 每个人心中都有一座断背山。
幽灵公主, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg, 8.9, 375398人评价, 人与自然的战争史诗。
杀人回忆, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2326071698.jpg, 8.8, 431828人评价, 关于连环杀人悬案的集体回忆。
入殓师, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg, 8.8, 436452人评价, 死可能是一道门，逝去并不是终结，而是超越，走向下一程。
狩猎, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg, 9.1, 232077人评价, 人言可畏。
阳光灿烂的日子, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg, 8.8, 431462人评价, 一场华丽的意淫。
重庆森林, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg, 8.7, 541425人评价, 寂寞没有期限。
第六感, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg, 8.9, 371001人评价, 深入内心的恐怖，出人意料的结局。
请以你的名字呼唤我, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg, 8.9, 408894人评价, 沉醉在电影的情感和视听氛围中无法自拔。
小森林 夏秋篇, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg, 9.0, 275149人评价, 那些静得只能听见呼吸的日子里，你明白孤独即生活。
哈利·波特与死亡圣器(下), https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg, 8.8, 493465人评价, 10年的完美句点。
消失的爱人, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg, 8.7, 609851人评价, 年度最佳date movie。
7号房的礼物, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg, 8.9, 340319人评价, 《我是山姆》的《美丽人生》。
玛丽和马克思, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2162822165.jpg, 8.9, 319437人评价, 你是我最好的朋友，你是我唯一的朋友 。
红辣椒, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg, 9.0, 256663人评价, 梦的勾结。
爱在黎明破晓前, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg, 8.8, 392367人评价, 缘分是个连绵词，最美不过一瞬。
告白, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg, 8.7, 518112人评价, 没有一人完全善，也没有一人完全恶。
一一, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg, 9.0, 238035人评价, 我们都曾经是一一。
侧耳倾听, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg, 8.9, 303931人评价, 少女情怀总是诗。
小森林 冬春篇, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2258078370.jpg, 9.0, 241791人评价, 尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
大鱼, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg, 8.8, 399030人评价, 抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
阳光姐妹淘, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg, 8.8, 434217人评价, 再多各自牛逼的时光，也比不上一起傻逼的岁月。 
射雕英雄传之东成西就, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535922598.jpg, 8.7, 443653人评价, 百看不厌。 
蝙蝠侠：黑暗骑士崛起, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg, 8.7, 486055人评价, 诺兰就是保证。
唐伯虎点秋香, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1946455272.jpg, 8.6, 672150人评价, 华太师是黄霑，吴镇宇四大才子之一。
超脱, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg, 8.9, 306072人评价, 穷尽一生，我们要学会的，不过是彼此拥抱。
倩女幽魂, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg, 8.7, 476726人评价, 两张绝世的脸。 
甜蜜蜜, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg, 8.8, 349508人评价, 相逢只要一瞬间，等待却像是一辈子。
驯龙高手, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg, 8.7, 514377人评价, 和谐的生活离不开摸头与被摸头。
恐怖直播, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg, 8.8, 420162人评价, 恐怖分子的“秋菊打官司”。
萤火之森, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg, 8.9, 322920人评价, 触不到的恋人。
菊次郎的夏天, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg, 8.8, 340918人评价, 从没见过那么流氓的温柔，从没见过那么温柔的流氓。
幸福终点站, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg, 8.8, 362610人评价, 有时候幸福需要等一等。 
爱在日落黄昏时, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910924221.jpg, 8.8, 336148人评价, 九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
超能陆战队, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg, 8.7, 663272人评价, Balalala~~~
无人知晓, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg, 9.1, 174071人评价, 我的平常生活就是他人的幸福。
借东西的小人阿莉埃蒂, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg, 8.8, 360761人评价, 曾经的那段美好会沉淀为一辈子的记忆。
神偷奶爸, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg, 8.6, 666158人评价, "Mr. I Dont Care其实也有Care的时候。"
怪兽电力公司, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg, 8.7, 431301人评价, 不要给它起名字，起了名字就有感情了。
风之谷, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg, 8.9, 270248人评价, 动画片的圣经。
玩具总动员3, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg, 8.8, 335075人评价, 跨度十五年的欢乐与泪水。
完美的世界, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792403691.jpg, 9.1, 161750人评价, 坏人的好总是比好人的好来得更感人。
上帝之城, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg, 8.9, 221123人评价, 被上帝抛弃了的上帝之城。
血战钢锯岭, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg, 8.7, 551077人评价, 优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
电锯惊魂, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565332644.jpg, 8.7, 338159人评价, 真相就在眼前。
傲慢与偏见, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p452005185.jpg, 8.6, 507522人评价, 爱是摈弃傲慢与偏见之后的曙光。
时空恋旅人, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg, 8.7, 365243人评价, 把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
喜宴, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.jpg, 8.9, 228149人评价, 中国家庭的喜怒哀乐忍。
谍影重重3, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg, 8.8, 294306人评价, 像吃了苏打饼一样干脆的电影。
教父3, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg, 8.9, 230959人评价, 任何信念的力量，都无法改变命运。
岁月神偷, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg, 8.7, 438131人评价, 岁月流逝，来日可追。
英雄本色, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg, 8.7, 332668人评价, 英雄泪短，兄弟情长。 
七武士, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2572674785.jpg, 9.2, 126635人评价, 时代悲歌。
被解救的姜戈, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg, 8.7, 416721人评价, 热血沸腾，那个低俗、性感的无耻混蛋又来了。
疯狂原始人, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg, 8.7, 591461人评价, 老少皆宜，这就是好莱坞动画的魅力。
功夫, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg, 8.5, 612854人评价, 警恶惩奸，维护世界和平这个任务就交给你了，好吗？
